EXP-001
hardware: Darwin | 27.0.0 | arm64 | 8P/8L cores | 16 GiB RAM | device:cpu,mps

EXP-001: first trained run. Three architectures at seq_len 144, standard scaling, calendar features on, one seed, against the persistence/seasonal-naive/AR(144) floor at the same window.

 area                model  seed  n_params      MAE     RMSE    MAPE   sMAPE    WAPE   MASE     R2  n_scored  n_dropped device  epochs  best_epoch  s_per_epoch   fit_s  fit_cpu_s  predict_ms  latency_ms  predict_us_per_step
 5161                 lstm    42     17222  88.5420 126.4283 11.9512 12.7182  6.1268 0.2549 0.9914      1008          0    mps    40.0        30.0        0.853 34.1824    13.2043      14.374      3.5236               14.260
 5161                  tcn    42     34758  83.7175 122.8731  8.9269  9.0601  5.7930 0.2410 0.9919      1008          0    mps    24.0        14.0        1.370 32.8969    14.9296      21.946      3.8708               21.772
 5161                  gbt    42      3534  92.0597 138.6803 10.0010  9.4183  6.3703 0.2650 0.9896      1008          0    cpu   114.0        94.0        0.026  2.9861    10.3078      10.182      8.7492               10.101
 5161                naive    42         0  92.8019 134.8777  9.1943  9.0965  6.4216 0.2671 0.9902      1008          0    cpu     NaN         NaN          NaN  0.0001     0.0000       0.021      0.0017                0.021
 5161 seasonal_naive_daily    42         0 338.5937 619.0400 25.9398 22.8281 23.4297 0.9747 0.7934      1008          0    cpu     NaN         NaN          NaN  0.0000     0.0000       0.019      0.0018                0.019
 5161        linear_ar_144    42       145  86.0480 125.6246  9.9945  9.7223  5.9543 0.2477 0.9915      1008          0    cpu     NaN         NaN          NaN  0.0274     0.0516       0.066      0.0038                0.065
 5059                 lstm    42     17222  71.2061  98.9231  8.0854  8.3340  5.6270 0.2634 0.9889      1008          0    mps    31.0        21.0        1.674 51.9044    12.3315      13.919      3.3008               13.808
 5059                  tcn    42     34758  84.6256 120.1305  8.0012  7.7602  6.6874 0.3131 0.9836      1008          0    mps    28.0        18.0        1.728 48.4023    17.8170      23.243      5.5425               23.059
 5059                  gbt    42      3813  77.0411 108.7600  7.9278  7.6190  6.0881 0.2850 0.9866      1008          0    cpu   123.0       103.0        0.032  3.9857     8.8591      13.699      7.7475               13.591
 5059                naive    42         0  81.5169 114.3750  7.9591  7.9089  6.4418 0.3016 0.9851      1008          0    cpu     NaN         NaN          NaN  0.0000     0.0000       0.023      0.0016                0.022
 5059 seasonal_naive_daily    42         0 171.7357 245.8702 18.0185 16.6210 13.5712 0.6354 0.9313      1008          0    cpu     NaN         NaN          NaN  0.0000     0.0000       0.023      0.0017                0.022
 5059        linear_ar_144    42       145  72.1153 100.0488  7.9646  7.7148  5.6988 0.2668 0.9886      1008          0    cpu     NaN         NaN          NaN  0.0413     0.1679       0.062      0.0039                0.062
 5259                 lstm    42     17222  67.0881  94.9559  7.6396  7.7039  5.3030 0.1281 0.9928      1008          0    mps    61.0        51.0        0.674 41.1343    18.7673      13.785      3.1695               13.675
 5259                  tcn    42     34758  62.5755  88.7220  7.1175  7.1504  4.9463 0.1195 0.9937      1008          0    mps    39.0        29.0        1.336 52.1191    22.6120      21.626      3.3357               21.455
 5259                  gbt    42      5146  67.0555  98.3998  7.2252  7.0576  5.3004 0.1280 0.9923      1008          0    cpu   166.0       146.0        0.031  5.2406    11.0110      15.761      9.5390               15.636
 5259                naive    42         0  75.9675 109.5784  8.1148  8.0741  6.0049 0.1451 0.9904      1008          0    cpu     NaN         NaN          NaN  0.0000     0.0000       0.024      0.0020                0.024
 5259 seasonal_naive_daily    42         0 470.3205 861.6206 71.6210 42.6127 37.1766 0.8981 0.4093      1008          0    cpu     NaN         NaN          NaN  0.0000     0.0000       0.024      0.0020                0.024
 5259        linear_ar_144    42       145  66.2499  93.4468  7.8412  7.5890  5.2367 0.1265 0.9931      1008          0    cpu     NaN         NaN          NaN  0.0474     0.1623       0.062      0.0038                0.062
